date,category,amount,vendor,description
2024-01-01,rent,15000,LandLord Kumar,Monthly rent
2024-01-01,electricity,3500,TNEB,Monthly electricity
2024-01-01,salary,25000,Staff,Monthly salaries
2024-01-02,inventory,8500,Fresh Supplier,Vegetables and fruits
2024-01-03,inventory,12000,Wholesale Market,Grocery stock
2024-01-04,fuel,800,PetrolBunk,Delivery fuel
2024-01-05,marketing,2000,Print Shop,Pamphlets
2024-01-06,inventory,9500,Wholesale Market,Weekend stock
2024-01-07,maintenance,1500,Plumber,Pipe repair
2024-01-08,inventory,7800,Fresh Supplier,Daily stock
2024-01-09,fuel,600,PetrolBunk,Delivery fuel
2024-01-10,inventory,11000,Wholesale Market,Bulk purchase
2024-01-11,miscellaneous,500,Various,Misc expenses
2024-01-12,inventory,8200,Fresh Supplier,Daily stock
2024-01-13,inventory,9100,Wholesale Market,Weekend stock
2024-01-14,fuel,700,PetrolBunk,Delivery fuel
2024-01-15,inventory,8800,Fresh Supplier,Daily stock
2024-01-16,taxes,5000,Tax Authority,GST payment
2024-01-17,inventory,7500,Wholesale Market,Mid-month stock
2024-01-18,electricity,350,TNEB,Additional usage
2024-01-19,inventory,9000,Fresh Supplier,Daily stock
2024-01-20,marketing,1500,Social Media,Online ad
2024-01-21,inventory,12000,Wholesale Market,Weekend bulk
2024-01-22,fuel,900,PetrolBunk,Sunday delivery
2024-01-23,inventory,8600,Fresh Supplier,Daily stock
2024-01-24,maintenance,2000,Electrician,Wiring fix
2024-01-25,inventory,7900,Wholesale Market,Stock replenishment
2024-01-26,inventory,8300,Fresh Supplier,Daily stock
2024-01-27,inventory,11500,Wholesale Market,Weekend stock
2024-01-28,fuel,850,PetrolBunk,Delivery fuel
2024-01-29,inventory,9200,Fresh Supplier,Daily stock
2024-01-30,miscellaneous,1200,Various,Month end misc
2024-01-31,inventory,7400,Wholesale Market,Month end stock
2024-01-15,miscellaneous,85000,Unknown Vendor,ANOMALY - Large suspicious payment
