date,category,amount,payment_method,description,reference
2024-01-01,sales,4500,cash,Daily sales,
2024-01-01,online,2200,upi,Online order,ORD-001
2024-01-02,sales,6700,cash,Morning sales,
2024-01-02,sales,3100,upi,Evening sales,
2024-01-03,customer_payment,15000,bank_transfer,Invoice payment,INV-2024-001
2024-01-04,sales,5500,cash,Daily sales,
2024-01-05,sales,7200,upi,Weekend sales,
2024-01-06,sales,8900,cash,Sunday sales,
2024-01-07,bank,50000,bank_transfer,Monthly transfer,
2024-01-08,sales,4800,cash,Daily sales,
2024-01-09,sales,5200,upi,Daily sales,
2024-01-10,customer_payment,22000,bank_transfer,Mohan Das payment,INV-2024-002
2024-01-11,sales,6100,cash,Daily sales,
2024-01-12,sales,4400,upi,Daily sales,
2024-01-13,sales,7800,cash,Weekend sales,
2024-01-14,sales,9200,cash,Sunday sales,
2024-01-15,sales,5600,upi,Daily sales,
2024-01-16,sales,4900,cash,Daily sales,
2024-01-17,sales,5100,upi,Daily sales,
2024-01-18,customer_payment,8500,bank_transfer,Priya Devi payment,INV-2024-003
2024-01-19,sales,6300,cash,Daily sales,
2024-01-20,sales,5400,upi,Daily sales,
2024-01-21,sales,8100,cash,Weekend sales,
2024-01-22,sales,9500,cash,Sunday peak,
2024-01-23,sales,5700,upi,Daily sales,
2024-01-24,sales,6200,cash,Daily sales,
2024-01-25,sales,5800,upi,Daily sales,
2024-01-26,sales,4700,cash,Daily sales,
2024-01-27,sales,8600,cash,Weekend sales,
2024-01-28,sales,10200,cash,Sunday peak,
2024-01-29,sales,6500,upi,Daily sales,
2024-01-30,sales,5900,cash,Daily sales,
2024-01-31,sales,7100,upi,Month end,
